,ID,ModifiedTMC,TOD,YEAR,CHAMP_LINK_COUNT,PRESIDIO,PHF,ALPHA,BETA,AT,FT2,LANES,DISTANCE,CAPACITY,FFS,INRIX_SPEED,SPEED_20TH,FF_TIME,INRIX_TIME,INRIX_VOL,CHAMP_PCE,CHAMP_VOL,TNC_VOL,TNC_PUDO,AVG_DUR,AVG_DUR_MAJOR_ARTERIALS,AVG_DUR_MINOR_ARTERIALS,BASE_INRIX_VOL_PRESIDIO
0,105&10491_AM,105&10491,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,3.0,0.17,7758.62068966,28.4670367036,18.0885102192,10.4835487569,0.358309159685,0.563893868338,7660.13493029,6320.84880706,5793.64156471,382.930621176,9.32470588235,2.33117647059,2.33117647059,0.0,0.0
1,105&14211_AM,105&14211,AM,2016,6,0.0,0.348,0.6,8.5,3.0,4,1.0,0.6,1374.5210728,25.2154069652,16.9025077474,14.9495913355,1.42769855151,2.12986147015,1342.74206058,492.161157833,459.129478167,35.81928,0.315166666667,0.0418763117284,0.0,0.0,0.0
2,105+04183_AM,105+04183,AM,2016,1,0.0,0.348,0.83,5.5,3.0,1,5.0,0.32,27298.8505747,69.38,43.5076584318,20.98,0.276736811761,0.44130161659,25693.0476289,18463.7793,17178.41491,1498.7572,0.0,0.0,0.0,0.0,0.0
3,105+04184_AM,105+04184,AM,2016,1,0.0,0.348,0.83,5.5,3.0,1,3.0,0.433,16379.3103448,71.58,43.2525886144,22.37,0.362950544845,0.600657690841,15688.793829,14213.02637,13337.14929,23.85854,0.0,0.0,0.0,0.0,0.0
4,105+04185_AM,105+04185,AM,2016,1,0.0,0.348,0.83,5.5,3.0,1,2.0,0.54,10057.4712644,71.49,43.3624919441,22.35,0.453210239194,0.747189530569,9616.63542538,4250.75342,3841.26609,13.49867,0.0,0.0,0.0,0.0,0.0
5,105+04401_AM,105+04401,AM,2016,1,0.0,0.348,0.83,5.5,1.0,1,4.0,0.21,21264.3678161,65.53,48.2294307197,44.55,0.192278345796,0.261251269442,18256.2127321,17662.96875,16950.61335,522.31872,0.0,0.0,0.0,0.0,0.0
6,105+04402_AM,105+04402,AM,2016,1,0.0,0.348,0.83,5.5,1.0,1,3.0,0.36,15948.2758621,63.19,45.705625,38.13,0.341826238329,0.472589533564,13853.2136894,12619.2373,12573.58809,99.77101,0.0,0.0,0.0,0.0,0.0
7,105+04863_AM,105+04863,AM,2016,1,0.0,0.348,0.83,5.5,2.0,1,4.0,1.0,21839.0804598,69.9,53.4281453362,37.024,0.858369098712,1.12300360835,18240.3561528,14983.56348,14262.06717,453.20092,0.0,0.0,0.0,0.0,0.0
8,105+04864_AM,105+04864,AM,2016,1,0.0,0.348,0.83,5.5,2.0,1,4.0,0.63,21839.0804598,69.96,50.3154054054,24.978,0.540308747856,0.751260964618,19040.6753711,18126.27148,17270.35705,330.75958,0.0,0.0,0.0,0.0,0.0
9,105+04866_AM,105+04866,AM,2016,1,0.0,0.348,0.83,5.5,2.0,1,5.0,0.43,27298.8505747,70.4,45.1865769645,18.108,0.366477272727,0.570966019849,25397.371693,19299.12305,18293.86847,461.11892,0.0,0.0,0.0,0.0,0.0
10,105+04868_AM,105+04868,AM,2016,1,0.0,0.348,0.83,5.5,2.0,1,4.0,0.21,21839.0804598,68.74,37.3371722644,19.39,0.183299389002,0.337465298946,21891.7089147,16488.29297,15527.03574,309.58382,0.0,0.0,0.0,0.0,0.0
11,105+04869_AM,105+04869,AM,2016,8,0.0,0.348,0.83,8.5,2.0,1,2.25498230583,1.0738,10619.0711685,67.73,52.7596240602,49.48,0.951247600768,1.22116108952,9359.35022328,7463.8399343,6847.11846321,317.581145092,0.244179549264,0.111155107721,0.0,0.0,0.0
12,105+04872_AM,105+04872,AM,2016,1,0.0,0.348,0.83,5.5,2.0,1,4.0,0.33,21839.0804598,68.74,46.5110418904,31.92,0.288041897003,0.425705363614,19753.7609208,10454.70703,9394.22439,839.18239,0.0,0.0,0.0,0.0,0.0
13,105+04873_AM,105+04873,AM,2016,1,0.0,0.348,0.6,8.5,2.0,4,1.0,0.17,862.068965517,45.93,20.6493621622,7.18,0.222077073808,0.493961988747,937.52066702,229.83917,180.88075,87.93485,3.11,0.259166666667,0.0,0.0,0.0
14,105+04943_AM,105+04943,AM,2016,4,0.0,0.348,0.83,5.5,1.0,1,2.0,1.8888,10632.183908,59.66,50.4432641292,48.8,1.89956419712,2.24664287604,8074.44420595,6671.41455,6590.50698,0.0,0.0,0.0,0.0,0.0,0.0
15,105+05618_AM,105+05618,AM,2016,4,0.0,0.348,0.83,5.5,2.0,1,3.0,0.5469,12297.5264973,62.48,37.6043093923,14.976,0.52519206146,0.872612754503,11800.5242312,7594.11141302,7258.43015666,51.9224070214,1.39422197842,0.552465522179,0.0,0.0,0.0
16,105+05619_AM,105+05619,AM,2016,1,0.0,0.348,0.6,3.5,3.0,2,4.0,0.19,10919.5402299,42.76,16.9873578595,9.1,0.266604303087,0.671087292932,14233.5573237,7834.00977,7512.75576,200.60858,13.47,3.55458333333,3.55458333333,0.0,0.0
